path	type	review_status	brief_notes	removal_candidate_tags	required_kept_tags	fantasy_usage	server_api_surface	configuration	tests_docs_build_release
.	directory	reviewed	Repository root and aggregate audit scope.			no	no	no	yes
.github	directory	reviewed	GitHub automation, labels, and release workflow surface.			no	no	no	yes
.github/workflows	directory	reviewed	GitHub automation, labels, and release workflow surface. CI, release, schema, and security workflow definitions.			no	no	no	yes
internal	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/agent	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			no	no	no	no
internal/agent/hyper	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			no	no	no	no
internal/agent/notify	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			no	no	no	no
internal/agent/prompt	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			no	no	no	no
internal/agent/templates	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tool or prompt documentation artifact.			no	no	no	yes
internal/agent/testdata	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures.			no	no	no	no
internal/agent/testdata/TestCoderAgent	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/anthropic-sonnet	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openai-gpt-5	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/openrouter-kimi-k2	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/testdata/TestCoderAgent/zai-glm4.6	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Tests or fixture data for agent behavior.			no	no	no	yes
internal/agent/tools	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			no	no	no	no
internal/agent/tools/mcp	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface. MCP integration surface targeted for removal.	mcp		no	no	no	no
internal/agent/tools/testdata	directory	reviewed	Agent runtime, prompt templates, tools, and regression fixtures. Built-in agent tool implementation or description surface.			no	no	no	no
internal/ansiext	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/app	directory	reviewed	Application wiring for services, config, agent coordination, and lifecycle.		server-api	no	no	no	no
internal/backend	directory	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/client	directory	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/cmd	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/gitignore	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/cmd/stats	directory	reviewed	User-facing stats/dashboard tooling; additional light-variant removal candidate.			no	no	no	yes
internal/commands	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/config	directory	reviewed	Configuration schema and load/merge logic for kept and removable features.	mcp;lsp;nix-home-manager;sub-agents;parallel-tools	oauth-and-byok;model-picker	no	no	yes	no
internal/csync	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/db	directory	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/migrations	directory	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/sql	directory	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/diff	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/env	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/event	directory	reviewed	Telemetry and analytics implementation using PostHog.	posthog-analytics		no	no	no	no
internal/filepathext	directory	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
